,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,semi-furnished,unfurnished
239,4000,3,1,2,1,0,0,0,0,1,0,0,0
113,9620,3,1,1,1,0,1,0,0,2,1,0,0
325,3460,4,1,2,1,0,0,0,1,0,0,1,0
66,13200,2,1,1,1,0,1,1,0,1,0,0,0
479,3660,4,1,2,0,0,0,0,0,0,0,0,1
103,6350,3,2,3,1,1,0,0,1,0,0,0,0
386,3850,3,1,1,1,0,0,0,0,2,0,0,1
480,3480,3,1,2,0,0,0,0,0,1,0,1,0
400,3512,2,1,1,1,0,0,0,0,1,1,0,1
37,9000,4,2,4,1,0,0,0,1,2,0,0,0
71,6000,4,2,4,1,0,0,0,1,0,0,0,1
329,3960,3,1,2,1,0,0,0,0,0,0,0,0
450,3450,3,1,2,1,0,1,0,0,0,0,1,0
432,6060,3,1,1,1,1,1,0,0,0,0,0,0
310,5985,3,1,1,1,0,1,0,0,0,0,1,0
501,2430,3,1,1,0,0,0,0,0,0,0,0,1
264,4900,2,1,2,1,0,1,0,0,0,0,1,0
361,6020,3,1,1,1,0,0,0,0,0,0,1,0
424,3100,3,1,2,0,0,1,0,0,0,0,1,0
281,4500,2,1,1,1,0,0,0,1,2,0,0,0
194,8150,3,2,1,1,1,1,0,0,0,0,1,0
165,6450,3,2,1,1,1,1,1,0,0,0,0,1
90,5000,3,1,2,1,0,0,0,1,0,0,1,0
537,1700,3,1,2,1,0,0,0,0,0,0,0,1
107,6420,3,1,3,1,0,1,0,0,0,1,0,1
159,3150,3,2,1,1,1,1,0,1,0,0,0,0
134,7000,3,1,1,1,0,1,0,0,2,1,1,0
235,5680,3,1,2,1,1,0,0,1,1,0,1,0
153,3300,3,3,2,1,0,1,0,0,0,0,1,0
118,6420,3,1,1,1,0,1,0,1,0,1,0,0
276,4400,2,1,1,1,0,0,0,0,1,0,1,0
378,2275,3,1,3,1,0,0,1,1,0,1,1,0
172,8400,3,1,2,1,1,1,0,1,2,1,0,1
428,4040,2,1,1,1,0,0,0,0,1,0,0,1
364,3120,3,1,2,0,0,1,1,0,0,0,1,0
225,6440,2,1,1,1,0,0,0,1,3,0,1,0
15,6000,4,1,2,1,0,1,0,0,2,0,1,0
391,3036,3,1,2,1,0,1,0,0,0,0,1,0
445,3450,1,1,1,1,0,0,0,0,0,0,0,0
282,2175,3,1,2,0,1,1,0,1,0,0,0,1
17,8500,3,2,4,1,0,0,0,1,2,0,0,0
316,5900,4,2,2,0,0,1,0,0,1,0,0,1
140,5800,3,2,4,1,0,0,0,1,0,0,0,1
455,5495,3,1,1,1,0,1,0,0,0,0,0,1
379,3520,3,1,1,1,0,0,0,0,2,1,0,1
45,6000,3,2,3,1,0,0,0,1,0,0,1,0
233,4160,3,1,1,1,1,1,0,1,0,0,0,1
435,4040,2,1,1,1,0,0,0,0,0,0,0,1
308,4046,3,1,2,1,0,1,0,0,1,0,1,0
78,5700,3,1,1,1,1,1,0,1,2,1,0,0
306,4840,3,1,2,1,0,0,0,0,1,0,1,0
229,9667,4,2,2,1,1,1,0,0,1,0,1,0
449,1650,3,1,2,0,0,1,0,0,0,0,0,1
344,3850,2,1,1,1,0,0,0,0,0,0,1,0
437,5880,3,1,1,1,0,0,0,0,1,0,0,1
188,5720,2,1,2,1,0,0,0,1,0,1,0,1
85,8250,3,2,3,1,0,0,0,1,0,0,0,0
137,4640,4,1,2,1,0,0,0,0,1,0,1,0
351,3600,2,1,1,1,0,0,0,0,0,0,1,0
219,7000,3,1,2,1,0,1,0,0,0,0,0,1
211,12900,3,1,1,1,0,0,0,0,2,0,0,0
162,6600,4,2,2,1,1,1,0,0,0,1,1,0
390,2135,3,2,2,0,0,0,0,0,0,0,0,1
46,6000,3,2,4,1,0,0,0,1,1,0,0,0
491,2640,2,1,1,0,0,0,0,0,1,0,0,0
157,2817,4,2,2,0,1,1,0,0,1,0,0,0
21,7155,3,2,1,1,1,1,0,1,2,0,0,1
293,4410,2,1,1,0,0,0,0,0,1,0,0,1
303,4500,3,1,1,1,0,1,0,0,0,0,0,0
205,6300,3,1,1,1,0,0,0,1,2,0,1,0
427,2145,3,1,2,1,0,1,0,0,0,1,0,0
102,5500,3,2,4,1,1,0,0,1,1,0,1,0
312,3600,3,1,1,1,0,1,0,1,0,1,0,0
75,4260,4,2,2,1,0,0,1,0,0,0,1,0
338,3780,2,1,2,1,1,1,0,0,0,0,1,0
236,2870,2,1,2,1,1,1,0,0,0,1,1,0
536,3420,5,1,2,0,0,0,0,0,0,0,0,1
89,8580,5,3,2,1,0,0,0,0,2,0,0,0
543,2910,3,1,1,0,0,0,0,0,0,0,0,0
381,4000,2,1,1,1,0,0,0,0,0,1,1,0
436,2145,3,1,2,1,0,1,0,0,0,1,0,0
196,7686,3,1,1,1,1,1,1,0,0,0,1,0
238,4510,4,2,2,1,0,1,0,0,0,0,1,0
342,7152,3,1,2,1,0,0,0,1,0,0,0,0
389,4600,4,1,2,1,0,0,0,0,0,0,1,0
108,3240,4,1,3,1,0,0,0,0,1,0,1,0
350,3420,2,1,2,1,0,0,1,0,1,0,1,0
206,5800,2,1,1,1,1,1,0,1,0,0,1,0
382,3150,3,1,2,1,0,1,0,0,0,0,0,0
272,4075,3,1,1,1,1,1,0,0,2,0,1,0
393,7424,3,1,1,0,0,0,0,0,0,0,0,1
96,9000,3,1,1,1,0,1,0,0,1,1,0,0
417,3640,2,1,1,1,0,0,0,0,0,0,0,0
348,3150,2,2,1,0,0,1,0,0,0,0,1,0
337,2145,4,2,1,1,0,1,0,0,0,1,0,1
1,8960,4,4,4,1,0,0,0,1,3,0,0,0
462,2160,3,1,2,0,0,1,0,0,0,0,1,0
12,6550,4,2,2,1,0,0,0,1,1,1,1,0
284,7770,2,1,1,1,0,0,0,0,1,0,0,0
354,8400,2,1,1,1,0,0,0,0,1,0,0,0
142,10500,4,2,2,1,0,0,0,0,1,0,1,0
433,3480,4,1,2,0,0,0,0,0,1,0,1,0
523,2787,4,2,2,1,0,0,0,0,0,0,0,0
185,3000,3,1,2,1,0,1,0,0,0,0,0,1
76,6420,3,2,3,1,0,0,0,1,0,1,0,0
132,5200,3,1,3,1,0,0,0,1,0,0,1,0
311,6060,2,1,1,1,0,1,0,0,1,0,1,0
464,4500,2,1,2,1,0,0,1,0,1,0,1,0
155,6100,3,2,1,1,0,1,0,0,2,1,0,0
542,3620,2,1,1,1,0,0,0,0,0,0,0,1
496,4000,2,1,1,1,0,0,0,0,0,0,0,1
484,3040,2,1,1,0,0,0,0,0,0,0,0,1
507,3600,2,1,1,1,0,0,0,0,0,0,0,1
252,9860,3,1,1,1,0,0,0,0,0,0,1,0
263,3968,3,1,2,0,0,0,0,0,0,0,1,0
240,3840,3,1,2,1,0,0,0,0,1,1,1,0
175,9800,4,2,2,1,1,0,0,0,2,0,1,0
385,3640,2,1,1,1,0,0,0,0,0,0,0,1
374,3520,2,2,1,1,0,1,0,0,0,0,1,0
10,13200,3,1,2,1,0,1,0,1,2,1,0,0
481,2700,2,1,1,0,0,0,0,0,0,0,0,0
112,4300,6,2,2,1,0,0,0,0,0,0,0,0
438,4500,2,1,1,0,0,0,0,0,0,0,1,0
213,4995,4,2,1,1,0,1,0,0,0,0,1,0
453,3069,2,1,1,1,0,0,0,0,1,0,0,1
474,4352,4,1,2,0,0,0,0,0,1,0,0,1
65,8880,3,2,2,1,0,1,0,1,1,0,0,0
403,12944,3,1,1,1,0,0,0,0,0,0,0,1
126,7160,3,1,1,1,0,1,0,0,2,1,0,1
395,3600,6,1,2,1,0,0,0,0,1,0,0,1
285,6650,3,1,2,1,1,0,0,0,0,0,1,0
362,4050,2,1,1,1,0,0,0,0,0,0,0,0
319,3000,4,1,3,1,0,1,0,1,2,0,1,0
525,3640,2,1,1,1,0,0,0,0,0,0,0,1
245,5360,3,1,2,1,0,0,0,0,2,1,0,1
7,16200,5,3,2,1,0,0,0,0,0,0,0,1
375,5960,3,1,2,1,1,1,0,0,0,0,0,1
